epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
110,1758.89,0.63262,0.74505,1.00875,0.85291,0.75432,0.82191,0.7056,0.63619,0.74637,1.02958,0.000246932,0.000246932,0.000246932
111,1774.81,0.63797,0.73267,1.02216,0.78606,0.78039,0.82242,0.70536,0.64249,0.74307,1.03594,0.000245922,0.000245922,0.000245922
112,1790.63,0.63429,0.75477,1.01281,0.81334,0.77032,0.81399,0.7017,0.63719,0.74314,1.02272,0.000244912,0.000244912,0.000244912
113,1806.45,0.62651,0.73722,1.00489,0.85173,0.76793,0.81501,0.70019,0.64002,0.73384,1.02651,0.000243902,0.000243902,0.000243902
114,1822.29,0.62082,0.72507,0.99622,0.82602,0.77499,0.82608,0.71187,0.62432,0.71258,1.02342,0.000242893,0.000242893,0.000242893
115,1838.23,0.61706,0.72018,1.01473,0.7974,0.78386,0.82084,0.70801,0.61626,0.7141,1.0152,0.000241883,0.000241883,0.000241883
116,1854.27,0.62517,0.69583,1.00075,0.85247,0.74388,0.81811,0.7001,0.64779,0.73162,1.02608,0.000240873,0.000240873,0.000240873
117,1870.14,0.64576,0.73601,1.02611,0.85397,0.74114,0.82404,0.71459,0.62992,0.73032,1.03213,0.000239863,0.000239863,0.000239863
118,1886.15,0.61524,0.69963,0.99973,0.83436,0.75326,0.81611,0.70174,0.64035,0.72605,1.03323,0.000238853,0.000238853,0.000238853
119,1901.93,0.61591,0.70395,1.00312,0.81667,0.7498,0.80164,0.69495,0.62308,0.75171,1.02525,0.000237844,0.000237844,0.000237844
120,1917.79,0.60888,0.68364,0.9983,0.81419,0.7411,0.80448,0.6956,0.61886,0.73597,1.02069,0.000236834,0.000236834,0.000236834
121,1933.59,0.62204,0.70588,1.00901,0.85704,0.74927,0.82624,0.71544,0.63194,0.73761,1.03255,0.000235824,0.000235824,0.000235824
122,1949.53,0.61501,0.70422,1.00404,0.88286,0.73613,0.81281,0.69986,0.63152,0.73843,1.02878,0.000234814,0.000234814,0.000234814
123,1964.76,0.5927,0.69538,0.99116,0.82904,0.74429,0.81268,0.70559,0.61248,0.71922,1.01635,0.000233804,0.000233804,0.000233804
124,1980.62,0.61256,0.70765,1.00923,0.7962,0.78434,0.81934,0.71061,0.62875,0.69783,1.01855,0.000232795,0.000232795,0.000232795
125,1996.61,0.59952,0.67606,1.00114,0.80903,0.79112,0.8247,0.71802,0.62602,0.72751,1.01808,0.000231785,0.000231785,0.000231785
126,2012.68,0.60681,0.6876,1.00291,0.78561,0.79018,0.82333,0.72118,0.62083,0.72528,1.02029,0.000230775,0.000230775,0.000230775
127,2028.66,0.60735,0.69612,1.00432,0.78879,0.78761,0.81361,0.7042,0.61445,0.71606,1.00608,0.000229765,0.000229765,0.000229765
128,2044.6,0.6135,0.69368,1.00118,0.83641,0.76013,0.82728,0.71992,0.62327,0.73096,1.02008,0.000228755,0.000228755,0.000228755
129,2060.6,0.61235,0.68889,0.99575,0.82556,0.78539,0.82034,0.71374,0.61192,0.70517,1.01432,0.000227746,0.000227746,0.000227746
130,2076.49,0.58578,0.65274,0.97907,0.7712,0.82308,0.83183,0.71957,0.61816,0.70713,1.01898,0.000226736,0.000226736,0.000226736
131,2092.39,0.60808,0.69285,0.99573,0.80425,0.79569,0.81728,0.70977,0.60911,0.70807,1.00723,0.000225726,0.000225726,0.000225726
132,2108.32,0.59916,0.69222,1.00206,0.83451,0.78247,0.81169,0.70447,0.61457,0.74368,1.01463,0.000224716,0.000224716,0.000224716
133,2124.28,0.59718,0.70049,1.00113,0.83955,0.75288,0.81678,0.70401,0.61759,0.74222,1.01611,0.000223706,0.000223706,0.000223706
134,2140.21,0.61447,0.67936,0.99721,0.84437,0.77553,0.83376,0.72193,0.61309,0.7061,1.01211,0.000222697,0.000222697,0.000222697
135,2156.13,0.59786,0.66848,0.98811,0.84125,0.76802,0.83173,0.71507,0.62435,0.72678,1.02651,0.000221687,0.000221687,0.000221687
136,2172.05,0.61991,0.68586,1.01266,0.80526,0.77653,0.82307,0.70566,0.62984,0.71827,1.01893,0.000220677,0.000220677,0.000220677
137,2188.01,0.59743,0.67221,0.99138,0.78556,0.79055,0.81452,0.70169,0.61509,0.70796,1.01339,0.000219667,0.000219667,0.000219667
138,2203.86,0.5859,0.65486,0.99019,0.82309,0.76711,0.82804,0.72287,0.60008,0.72404,1.00906,0.000218657,0.000218657,0.000218657
139,2219.8,0.59341,0.68263,0.98825,0.83955,0.75777,0.81778,0.7071,0.60542,0.71377,1.01158,0.000217648,0.000217648,0.000217648
140,2235.78,0.60956,0.68047,1.00175,0.82156,0.78232,0.82909,0.72575,0.60706,0.72585,1.0158,0.000216638,0.000216638,0.000216638
141,2251.85,0.58343,0.64026,0.98917,0.84607,0.77419,0.82526,0.71766,0.61763,0.71735,1.01544,0.000215628,0.000215628,0.000215628
142,2267.84,0.58575,0.6417,0.97784,0.84309,0.78754,0.83039,0.72126,0.61119,0.71196,1.01447,0.000214618,0.000214618,0.000214618
143,2283.74,0.57895,0.62877,0.98487,0.82927,0.78559,0.83699,0.72924,0.60437,0.72153,1.00959,0.000213608,0.000213608,0.000213608
144,2299.64,0.57294,0.62844,0.97416,0.81992,0.76441,0.82118,0.70932,0.6142,0.72919,1.0165,0.000212599,0.000212599,0.000212599
145,2315.52,0.56451,0.61075,0.96661,0.84092,0.77442,0.81689,0.7062,0.61598,0.72017,1.00353,0.000211589,0.000211589,0.000211589
146,2331.4,0.5898,0.6435,0.98918,0.77344,0.80005,0.81598,0.71027,0.60664,0.71488,1.00322,0.000210579,0.000210579,0.000210579
147,2347.25,0.57774,0.64859,0.99588,0.86066,0.75023,0.82704,0.71655,0.61697,0.70409,1.01614,0.000209569,0.000209569,0.000209569
148,2363.41,0.57659,0.6557,0.9857,0.86745,0.74429,0.81832,0.70976,0.61004,0.71232,1.01079,0.000208559,0.000208559,0.000208559
149,2379.5,0.56395,0.59625,0.96291,0.85138,0.7659,0.82466,0.71885,0.61922,0.69783,1.0167,0.00020755,0.00020755,0.00020755
150,2395.45,0.55723,0.61761,0.97012,0.86197,0.73472,0.8131,0.70713,0.6084,0.70619,1.00721,0.00020654,0.00020654,0.00020654
151,2411.38,0.58727,0.62985,0.98903,0.8174,0.76898,0.82187,0.7141,0.60588,0.69215,1.00557,0.00020553,0.00020553,0.00020553
152,2427.31,0.58308,0.62068,0.98796,0.81899,0.77814,0.8152,0.71011,0.60835,0.69285,1.00752,0.00020452,0.00020452,0.00020452
153,2443.22,0.5846,0.63131,0.98118,0.81909,0.79345,0.8281,0.72015,0.6124,0.68711,1.02332,0.00020351,0.00020351,0.00020351
154,2459.07,0.5624,0.61497,0.97766,0.83546,0.72563,0.81373,0.70624,0.60639,0.69669,1.00983,0.000202501,0.000202501,0.000202501
155,2475.04,0.55941,0.62416,0.97773,0.77697,0.76849,0.80671,0.7059,0.61801,0.73951,1.02372,0.000201491,0.000201491,0.000201491
156,2491,0.5717,0.60249,0.97409,0.84665,0.7502,0.82029,0.71223,0.61646,0.69426,1.01799,0.000200481,0.000200481,0.000200481
157,2506.92,0.57366,0.60635,0.9748,0.81369,0.79756,0.82684,0.71489,0.60793,0.70129,1.00699,0.000199471,0.000199471,0.000199471
158,2522.7,0.56175,0.5987,0.96888,0.7985,0.79335,0.82157,0.71421,0.61048,0.6812,1.00954,0.000198461,0.000198461,0.000198461
159,2538.52,0.55477,0.60499,0.96792,0.805,0.78621,0.81648,0.71101,0.60031,0.71036,1.00381,0.000197452,0.000197452,0.000197452
160,2554.54,0.56092,0.60021,0.96828,0.80074,0.7879,0.82479,0.71832,0.60574,0.6897,1.00949,0.000196442,0.000196442,0.000196442
161,2570.34,0.5643,0.56935,0.96163,0.85454,0.75319,0.81743,0.70985,0.6221,0.70919,1.0232,0.000195432,0.000195432,0.000195432
162,2586.24,0.56601,0.62666,0.98471,0.76515,0.7897,0.80912,0.70439,0.60638,0.70389,1.00587,0.000194422,0.000194422,0.000194422
163,2602.09,0.55576,0.60261,0.96863,0.79992,0.78446,0.82264,0.70963,0.61509,0.68791,1.01021,0.000193412,0.000193412,0.000193412
164,2617.94,0.56273,0.61308,0.98008,0.82948,0.76807,0.81596,0.70606,0.61237,0.68736,1.00876,0.000192403,0.000192403,0.000192403
165,2633.89,0.53769,0.57787,0.96711,0.82308,0.76579,0.81176,0.70574,0.61673,0.73168,1.00585,0.000191393,0.000191393,0.000191393
166,2650.03,0.55044,0.58598,0.95375,0.8108,0.80271,0.82106,0.71117,0.61292,0.70147,1.0033,0.000190383,0.000190383,0.000190383
167,2666.03,0.56317,0.58523,0.96389,0.82971,0.78443,0.82585,0.7122,0.60957,0.68965,1.00265,0.000189373,0.000189373,0.000189373
168,2681.41,0.54899,0.58154,0.95737,0.81616,0.80098,0.82673,0.71503,0.61165,0.70709,1.01041,0.000188363,0.000188363,0.000188363
169,2697.68,0.54743,0.58872,0.95859,0.85101,0.76521,0.81501,0.70909,0.59567,0.70507,1.00191,0.000187354,0.000187354,0.000187354
170,2714.14,0.53275,0.56,0.95451,0.84589,0.7471,0.81474,0.70799,0.60422,0.70345,1.01738,0.000186344,0.000186344,0.000186344
171,2729.95,0.54858,0.58493,0.96843,0.84726,0.78506,0.82635,0.72147,0.60152,0.71,1.00548,0.000185334,0.000185334,0.000185334
172,2745.8,0.54285,0.5686,0.94283,0.83386,0.77704,0.8185,0.716,0.59261,0.71559,1.00062,0.000184324,0.000184324,0.000184324
173,2761.86,0.5428,0.5796,0.96187,0.81537,0.76862,0.82038,0.71344,0.61159,0.69293,1.01771,0.000183314,0.000183314,0.000183314
174,2777.89,0.54399,0.5661,0.97136,0.81891,0.79816,0.83657,0.72796,0.60251,0.68638,1.01106,0.000182305,0.000182305,0.000182305
175,2793.83,0.55561,0.57266,0.96513,0.79024,0.79486,0.82138,0.71719,0.60704,0.69193,1.00969,0.000181295,0.000181295,0.000181295
176,2809.92,0.53619,0.56869,0.96505,0.81513,0.8145,0.83382,0.7264,0.60822,0.6787,1.00503,0.000180285,0.000180285,0.000180285
177,2826.88,0.55086,0.58291,0.96702,0.84254,0.75092,0.81845,0.71334,0.59614,0.70703,0.99965,0.000179275,0.000179275,0.000179275
178,2843.33,0.52355,0.56828,0.95654,0.84162,0.78038,0.82842,0.72627,0.59434,0.69515,0.99959,0.000178265,0.000178265,0.000178265
179,2860.19,0.5499,0.56523,0.9656,0.82427,0.7898,0.82625,0.71892,0.61031,0.69616,1.01726,0.000177256,0.000177256,0.000177256
180,2876.34,0.53019,0.54784,0.94752,0.78573,0.8034,0.82406,0.72159,0.59436,0.69768,1.00867,0.000176246,0.000176246,0.000176246
